                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4458,                0.91275,                 1.3233,                0.92325,                0.83498,                 0.9221,                0.55691,                 1.3106,                0.77081,                 1.3617,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.4376,                0.90141,                 1.3095,                0.93794,                0.84206,                0.92047,                0.54076,                 1.3495,                0.80777,                 1.3816,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4278,                0.89256,                 1.3094,                0.91992,                0.84779,                 0.9284,                0.55576,                 1.3175,                0.76446,                 1.3595,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.4198,                0.88423,                  1.311,                0.94697,                0.83426,                0.92627,                0.56727,                   1.29,                0.73308,                 1.3584,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.4082,                0.87887,                 1.3031,                0.93481,                0.81927,                0.91824,                 0.5549,                 1.2999,                 0.7299,                 1.3377,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.4127,                0.87269,                 1.3008,                0.94594,                 0.8776,                0.94221,                 0.5654,                 1.2948,                0.75242,                  1.348,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3968,                0.86924,                  1.295,                0.91106,                0.81863,                0.90666,                0.55473,                 1.2914,                0.80424,                 1.3507,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.3983,                0.86293,                 1.2942,                0.88147,                0.85167,                0.90984,                0.56642,                 1.2683,                0.75839,                 1.3355,               0.009505,               0.009505,               0.009505
                     53,                 1.3931,                 0.8674,                 1.2925,                0.93087,                0.84458,                0.91967,                0.56787,                 1.2794,                0.73072,                 1.3332,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.3882,                0.85391,                 1.2837,                0.89375,                0.83625,                0.91953,                0.56754,                 1.2797,                0.75357,                  1.346,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.3855,                 0.8523,                 1.2882,                0.89466,                0.86614,                0.90907,                0.55251,                 1.3181,                0.78221,                 1.3524,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.3759,                0.84835,                 1.2836,                0.91329,                0.86846,                0.92649,                0.58327,                 1.2497,                0.71387,                 1.3209,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.3741,                0.84598,                 1.2807,                0.90852,                0.87823,                0.94207,                0.58378,                 1.2699,                0.69618,                   1.33,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.3678,                0.83407,                 1.2675,                0.88119,                0.85421,                0.92209,                0.58073,                 1.2669,                0.72209,                 1.3391,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.3594,                0.82568,                 1.2682,                0.92986,                  0.851,                0.92925,                0.57217,                 1.2728,                0.70752,                 1.3284,              0.0094357,              0.0094357,              0.0094357
